Order_ID,Order_Date,Customer_ID,Product_ID,Salesperson_ID,Quantity,Discount_Percentage,Payment_Mode,Sales_Channel,Order_Status
ORD000040,2024-11-08,CUST00338,PROD0146,EMP001,3,10,UPI,Online,Delivered
ORD000041,2024-07-09,CUST09627,PROD0049,EMP009,1,10,UPI,Retail Store,Delivered
ORD000042,2024-06-27,CUST01817,PROD0141,EMP001,1,10,EMI,Retail Store,Delivered
ORD000043,2024-09-01,CUST01286,PROD0009,EMP011,1,5,UPI,Online,Delivered
ORD000044,2024-08-15,CUST08974,PROD0015,EMP018,1,0,UPI,Retail Store,Delivered
ORD000045,2023-09-25,CUST09450,PROD0009,EMP006,1,10,UPI,Retail Store,Delivered
ORD000046,2023-11-04,CUST08980,PROD0154,EMP004,4,10,UPI,Retail Store,Delivered
ORD000047,2023-04-13,CUST03164,PROD0142,EMP014,1,20,UPI,Retail Store,Delivered
ORD000048,2023-03-12,CUST00621,PROD0086,EMP015,1,10,UPI,Retail Store,Delivered
ORD000049,2023-11-06,CUST08366,PROD0081,EMP001,1,10,Cash,Retail Store,Delivered
ORD000050,2023-09-28,CUST09177,PROD0110,EMP016,1,0,Debit Card,Retail Store,Delivered
ORD000051,2023-08-04,CUST03324,PROD0179,EMP018,3,5,Credit Card,Online,Delivered
ORD000052,2023-09-15,CUST02251,PROD0203,EMP001,1,0,Credit Card,Online,Delivered
ORD000053,2023-12-08,CUST01158,PROD0217,EMP017,2,10,UPI,Retail Store,Delivered
ORD000054,2024-07-28,CUST07191,PROD0165,EMP010,1,10,UPI,Online,Delivered
ORD000055,2024-07-12,CUST03025,PROD0252,EMP016,2,20,Credit Card,Retail Store,Delivered
ORD000056,2023-11-12,CUST01746,PROD0269,EMP017,5,20,UPI,Retail Store,Delivered
ORD000057,2024-07-27,CUST04819,PROD0265,EMP020,8,25,EMI,Online,Delivered
ORD000058,2023-08-31,CUST03197,PROD0133,EMP003,1,10,Cash,Retail Store,Delivered
ORD000059,2023-12-07,CUST05755,PROD0246,EMP007,8,25,Debit Card,Online,Delivered
ORD000060,2023-10-01,CUST08358,PROD0149,EMP014,2,15,Cash,Online,Delivered
ORD000061,2024-04-16,CUST08081,PROD0109,EMP015,2,10,Debit Card,Online,Delivered
ORD000062,2024-11-06,CUST01404,PROD0268,EMP013,5,20,UPI,Retail Store,Delivered
ORD000063,2023-12-26,CUST00594,PROD0065,EMP009,2,10,Cash,Retail Store,Returned
ORD000064,2023-07-02,CUST08125,PROD0247,EMP020,6,20,UPI,Retail Store,Delivered
ORD000065,2023-11-18,CUST00752,PROD0242,EMP010,6,25,Cash,Retail Store,Delivered
ORD000066,2024-03-22,CUST06979,PROD0118,EMP004,1,5,UPI,Retail Store,Delivered
ORD000067,2023-12-05,CUST00188,PROD0168,EMP005,2,20,Debit Card,Online,Delivered
ORD000068,2023-11-13,CUST07028,PROD0137,EMP002,4,15,Credit Card,Retail Store,Delivered
ORD000069,2024-11-11,CUST09947,PROD0160,EMP003,3,20,Credit Card,Retail Store,Delivered
ORD000070,2023-11-08,CUST02772,PROD0188,EMP001,3,5,UPI,Retail Store,Delivered
ORD000071,2024-04-21,CUST09006,PROD0130,EMP020,2,15,Credit Card,Retail Store,Delivered
ORD000072,2023-06-23,CUST04724,PROD0031,EMP018,1,10,Credit Card,Retail Store,Delivered
ORD000073,2023-08-29,CUST02990,PROD0031,EMP009,2,5,Debit Card,Retail Store,Delivered
ORD000074,2024-05-01,CUST03668,PROD0269,EMP012,6,10,Credit Card,Online,Delivered
ORD000075,2024-12-14,CUST00960,PROD0087,EMP011,2,15,UPI,Retail Store,Delivered
ORD000076,2023-04-20,CUST03784,PROD0085,EMP012,2,5,UPI,Online,Delivered
ORD000077,2023-02-21,CUST00028,PROD0140,EMP014,1,10,Credit Card,Online,Delivered
ORD000078,2024-07-26,CUST02711,PROD0058,EMP013,2,5,Credit Card,Online,Delivered
ORD000079,2024-07-15,CUST01080,PROD0058,EMP016,2,0,Debit Card,Retail Store,Delivered
ORD000080,2023-09-11,CUST02282,PROD0035,EMP003,2,15,Credit Card,Retail Store,Delivered
ORD000081,2023-10-20,CUST05436,PROD0220,EMP003,2,10,UPI,Online,Delivered
ORD000082,2023-06-04,CUST09411,PROD0199,EMP017,2,15,Credit Card,Online,Delivered
ORD000083,2024-02-22,CUST08022,PROD0192,EMP016,3,15,UPI,Retail Store,Delivered
ORD000084,2024-08-21,CUST08199,PROD0113,EMP017,1,15,Credit Card,Online,Delivered
ORD000085,2024-02-04,CUST06275,PROD0134,EMP010,2,20,Debit Card,Retail Store,Delivered
ORD000086,2023-08-14,CUST07889,PROD0081,EMP005,2,5,UPI,Retail Store,Delivered
ORD000087,2024-11-15,CUST02200,PROD0210,EMP006,4,5,Debit Card,Online,Returned
ORD000088,2024-06-30,CUST08837,PROD0223,EMP002,1,15,Credit Card,Retail Store,Delivered
ORD000089,2024-03-14,CUST03577,PROD0032,EMP005,1,15,UPI,Retail Store,Delivered
ORD000090,2024-04-10,CUST03706,PROD0112,EMP020,2,10,Debit Card,Retail Store,Delivered
ORD000091,2024-03-07,CUST07663,PROD0160,EMP009,2,10,Credit Card,Online,Delivered
ORD000092,2023-12-25,CUST09880,PROD0200,EMP003,2,0,Debit Card,Retail Store,Delivered
ORD000093,2023-09-11,CUST06748,PROD0259,EMP009,3,10,Credit Card,Retail Store,Delivered
ORD000094,2023-04-28,CUST04850,PROD0090,EMP020,1,15,Credit Card,Online,Delivered
ORD000095,2024-09-13,CUST05968,PROD0042,EMP003,1,5,EMI,Retail Store,Delivered
ORD000096,2023-11-16,CUST05359,PROD0164,EMP004,4,20,UPI,Retail Store,Delivered
ORD000097,2023-09-06,CUST02306,PROD0091,EMP012,1,10,Cash,Retail Store,Delivered
ORD000098,2024-08-02,CUST00734,PROD0217,EMP016,1,10,Credit Card,Retail Store,Delivered
ORD000099,2024-10-25,CUST02298,PROD0041,EMP008,3,15,Debit Card,Retail Store,Cancelled
ORD000100,2024-10-12,CUST09535,PROD0179,EMP015,4,5,UPI,Online,Cancelled
ORD000101,2023-10-04,CUST08198,PROD0067,EMP007,2,15,UPI,Online,Delivered
ORD000102,2023-09-09,CUST04996,PROD0064,EMP004,1,10,Cash,Retail Store,Delivered
ORD000103,2024-09-16,CUST03923,PROD0160,EMP019,2,15,UPI,Online,Delivered
ORD000104,2023-08-06,CUST09971,PROD0088,EMP002,2,10,UPI,Online,Delivered
ORD000105,2023-10-10,CUST08432,PROD0157,EMP001,2,10,UPI,Retail Store,Delivered
ORD000106,2023-09-04,CUST04149,PROD0132,EMP006,2,20,Debit Card,Retail Store,Delivered
ORD000107,2023-10-29,CUST08720,PROD0211,EMP009,2,15,Credit Card,Retail Store,Delivered
ORD000108,2024-04-29,CUST09611,PROD0051,EMP012,2,5,Net Banking,Retail Store,Delivered
ORD000109,2024-04-09,CUST05049,PROD0103,EMP018,2,10,UPI,Retail Store,Delivered
ORD000110,2023-05-03,CUST03419,PROD0175,EMP004,5,5,UPI,Online,Delivered
ORD000111,2024-08-26,CUST04678,PROD0159,EMP016,2,10,Debit Card,Retail Store,Delivered
ORD000112,2023-11-06,CUST01942,PROD0220,EMP017,1,5,UPI,Online,Delivered
ORD000113,2024-12-15,CUST02686,PROD0222,EMP009,2,15,UPI,Retail Store,Delivered
ORD000114,2024-05-05,CUST04576,PROD0047,EMP020,2,10,UPI,Retail Store,Cancelled
ORD000115,2024-05-04,CUST01666,PROD0243,EMP020,2,10,UPI,Retail Store,Delivered
ORD000116,2023-02-24,CUST04933,PROD0066,EMP019,1,5,Debit Card,Online,Delivered
ORD000117,2023-09-12,CUST02324,PROD0071,EMP019,1,15,Credit Card,Online,Delivered
ORD000118,2024-06-19,CUST00115,PROD0224,EMP010,4,15,Cash,Retail Store,Delivered
ORD000119,2024-03-15,CUST08555,PROD0244,EMP020,4,10,Credit Card,Online,Cancelled
ORD000120,2023-08-01,CUST08153,PROD0188,EMP019,2,10,Credit Card,Retail Store,Delivered
ORD000121,2023-03-18,CUST09704,PROD0068,EMP003,1,0,UPI,Retail Store,Delivered
ORD000122,2023-02-03,CUST06096,PROD0069,EMP018,1,10,Debit Card,Online,Delivered
ORD000123,2024-12-04,CUST04749,PROD0059,EMP002,1,5,Debit Card,Retail Store,Delivered
ORD000124,2023-07-22,CUST05081,PROD0157,EMP001,2,10,Credit Card,Retail Store,Delivered
ORD000125,2023-05-26,CUST08405,PROD0150,EMP013,1,10,UPI,Retail Store,Delivered
ORD000126,2024-08-05,CUST00845,PROD0237,EMP003,4,25,UPI,Retail Store,Delivered
ORD000127,2023-10-06,CUST00396,PROD0257,EMP002,8,25,UPI,Retail Store,Delivered
ORD000128,2023-11-27,CUST05569,PROD0084,EMP018,2,0,UPI,Online,Delivered
ORD000129,2024-08-12,CUST04115,PROD0250,EMP004,6,10,Net Banking,Retail Store,Delivered
ORD000130,2023-02-11,CUST08307,PROD0114,EMP005,1,15,Credit Card,Retail Store,Delivered
ORD000131,2024-08-22,CUST08859,PROD0036,EMP008,2,15,EMI,Retail Store,Delivered
ORD000132,2023-11-25,CUST03467,PROD0154,EMP007,2,15,UPI,Retail Store,Delivered
ORD000133,2024-02-15,CUST01804,PROD0104,EMP014,1,15,UPI,Retail Store,Delivered
ORD000134,2024-02-18,CUST06708,PROD0239,EMP016,8,10,Credit Card,Retail Store,Delivered
ORD000135,2023-07-12,CUST08951,PROD0071,EMP017,2,15,Credit Card,Online,Delivered
ORD000136,2024-07-16,CUST07490,PROD0145,EMP019,1,15,UPI,Retail Store,Delivered
ORD000137,2024-10-07,CUST08456,PROD0026,EMP011,2,10,Credit Card,Retail Store,Delivered
ORD000138,2023-04-27,CUST02677,PROD0042,EMP015,2,0,Credit Card,Retail Store,Delivered
ORD000139,2023-10-26,CUST09917,PROD0152,EMP003,4,15,Net Banking,Retail Store,Delivered
ORD000140,2024-01-28,CUST00823,PROD0220,EMP015,2,5,Cash,Retail Store,Delivered
ORD000141,2024-02-29,CUST07153,PROD0189,EMP007,3,10,Debit Card,Retail Store,Delivered
ORD000142,2024-08-24,CUST04208,PROD0094,EMP016,2,5,UPI,Retail Store,Delivered
ORD000143,2024-07-10,CUST09027,PROD0184,EMP003,4,15,Cash,Online,Returned
ORD000144,2023-09-02,CUST07253,PROD0118,EMP011,2,5,Cash,Retail Store,Delivered
ORD000145,2024-04-29,CUST05434,PROD0078,EMP020,2,15,Net Banking,Online,Delivered
ORD000146,2023-06-05,CUST09578,PROD0163,EMP015,2,10,UPI,Online,Delivered
ORD000147,2023-04-13,CUST08941,PROD0154,EMP014,2,10,Credit Card,Retail Store,Delivered
ORD000148,2024-02-24,CUST09096,PROD0033,EMP009,1,0,Credit Card,Online,Delivered
ORD000149,2024-12-10,CUST09996,PROD0238,EMP010,5,10,Cash,Online,Delivered
ORD000150,2024-01-25,CUST08464,PROD0180,EMP019,3,15,Cash,Retail Store,Delivered
ORD000151,2024-10-08,CUST04586,PROD0137,EMP020,3,20,UPI,Online,Delivered
ORD000152,2024-12-21,CUST08361,PROD0129,EMP011,1,15,UPI,Retail Store,Delivered
ORD000153,2023-11-29,CUST04306,PROD0146,EMP002,3,15,UPI,Retail Store,Delivered
ORD000154,2024-08-02,CUST07315,PROD0060,EMP012,1,0,UPI,Retail Store,Delivered
ORD000155,2024-11-30,CUST06751,PROD0056,EMP018,3,0,UPI,Retail Store,Delivered
ORD000156,2024-11-13,CUST02119,PROD0036,EMP001,3,10,Credit Card,Retail Store,Delivered
ORD000157,2023-12-20,CUST05922,PROD0137,EMP017,2,20,EMI,Retail Store,Delivered
ORD000158,2023-11-06,CUST03284,PROD0187,EMP012,2,15,Cash,Retail Store,Delivered
ORD000159,2024-01-03,CUST05315,PROD0127,EMP014,2,20,UPI,Online,Delivered
ORD000160,2023-10-09,CUST09232,PROD0219,EMP014,1,0,Cash,Online,Delivered
ORD000161,2023-10-21,CUST03284,PROD0182,EMP015,2,10,UPI,Retail Store,Delivered
ORD000162,2024-11-06,CUST06188,PROD0054,EMP008,2,0,UPI,Retail Store,Delivered
ORD000163,2023-05-15,CUST02938,PROD0130,EMP020,1,15,UPI,Retail Store,Delivered
ORD000164,2024-07-06,CUST04912,PROD0212,EMP009,3,10,Debit Card,Retail Store,Delivered
ORD000165,2024-05-08,CUST00422,PROD0167,EMP019,2,20,Cash,Online,Delivered
ORD000166,2023-03-19,CUST01026,PROD0038,EMP013,1,5,Cash,Online,Returned
ORD000167,2024-07-24,CUST00622,PROD0160,EMP001,2,10,Debit Card,Retail Store,Delivered
ORD000168,2024-04-10,CUST09634,PROD0111,EMP004,2,10,Credit Card,Online,Cancelled
ORD000169,2023-04-21,CUST09484,PROD0106,EMP009,1,15,UPI,Online,Delivered
ORD000170,2024-09-16,CUST08013,PROD0234,EMP005,3,10,Credit Card,Retail Store,Delivered
ORD000171,2024-10-26,CUST06683,PROD0141,EMP012,3,10,UPI,Retail Store,Returned
ORD000172,2023-04-29,CUST00005,PROD0269,EMP016,2,15,Cash,Retail Store,Delivered
ORD000173,2024-11-17,CUST04061,PROD0034,EMP001,3,15,Credit Card,Online,Delivered
ORD000174,2023-10-14,CUST07119,PROD0254,EMP006,4,15,UPI,Online,Delivered
ORD000175,2023-04-12,CUST04599,PROD0147,EMP019,2,20,Cash,Retail Store,Delivered
ORD000176,2023-10-10,CUST02634,PROD0034,EMP003,2,15,UPI,Retail Store,Delivered
ORD000177,2023-01-22,CUST00021,PROD0089,EMP020,1,10,UPI,Retail Store,Delivered
ORD000178,2023-03-12,CUST02259,PROD0084,EMP004,1,5,Debit Card,Retail Store,Delivered
ORD000179,2024-09-02,CUST05632,PROD0178,EMP008,1,10,Cash,Retail Store,Delivered
ORD000180,2023-09-14,CUST09736,PROD0078,EMP002,1,0,Credit Card,Retail Store,Delivered
ORD000181,2023-09-01,CUST04206,PROD0247,EMP004,6,20,UPI,Retail Store,Delivered
ORD000182,2024-03-07,CUST04959,PROD0067,EMP004,1,0,Credit Card,Online,Delivered
ORD000183,2023-04-22,CUST00569,PROD0153,EMP007,2,20,UPI,Retail Store,Delivered
ORD000184,2024-11-05,CUST01255,PROD0075,EMP015,2,15,Credit Card,Retail Store,Returned
ORD000185,2024-02-16,CUST09493,PROD0250,EMP008,5,10,Credit Card,Online,Delivered
ORD000186,2023-03-24,CUST03847,PROD0256,EMP014,4,15,UPI,Retail Store,Delivered
ORD000187,2024-07-15,CUST08012,PROD0207,EMP007,3,15,Net Banking,Retail Store,Delivered
ORD000188,2024-09-11,CUST07147,PROD0145,EMP013,2,10,Debit Card,Retail Store,Delivered
ORD000189,2024-07-18,CUST03997,PROD0103,EMP003,1,15,Credit Card,Retail Store,Delivered
ORD000190,2024-04-09,CUST00061,PROD0238,EMP018,5,25,Debit Card,Retail Store,Delivered
ORD000191,2023-09-19,CUST07736,PROD0001,EMP019,2,5,Credit Card,Retail Store,Delivered
ORD000192,2023-03-29,CUST05523,PROD0245,EMP019,2,25,UPI,Online,Delivered
ORD000193,2024-07-23,CUST08828,PROD0170,EMP003,1,20,EMI,Retail Store,Delivered
ORD000194,2024-02-25,CUST00512,PROD0113,EMP006,2,15,Cash,Online,Cancelled
ORD000195,2024-09-06,CUST06270,PROD0020,EMP018,2,10,UPI,Retail Store,Delivered
ORD000196,2024-05-08,CUST08551,PROD0125,EMP008,1,10,UPI,Retail Store,Delivered
ORD000197,2023-10-13,CUST05032,PROD0194,EMP002,5,5,Debit Card,Online,Returned
ORD000198,2024-09-28,CUST08568,PROD0074,EMP011,1,10,UPI,Retail Store,Delivered
ORD000199,2023-12-14,CUST01802,PROD0194,EMP006,3,0,UPI,Retail Store,Delivered
ORD000200,2023-03-13,CUST00536,PROD0096,EMP009,1,0,UPI,Retail Store,Delivered
ORD000201,2024-04-09,CUST00283,PROD0103,EMP007,2,5,UPI,Online,Delivered
ORD000202,2024-08-04,CUST08901,PROD0077,EMP014,1,0,UPI,Online,Delivered
ORD000203,2023-03-25,CUST04308,PROD0019,EMP002,2,15,Credit Card,Retail Store,Delivered
ORD000204,2023-10-07,CUST01216,PROD0181,EMP020,2,0,UPI,Retail Store,Delivered
ORD000205,2024-08-30,CUST07189,PROD0246,EMP019,5,20,UPI,Retail Store,Delivered
ORD000206,2023-01-08,CUST09191,PROD0168,EMP018,1,15,Cash,Online,Delivered
ORD000207,2023-10-24,CUST02660,PROD0207,EMP014,3,0,UPI,Online,Delivered
ORD000208,2024-01-25,CUST07044,PROD0140,EMP009,1,20,Credit Card,Retail Store,Delivered
ORD000209,2024-02-11,CUST08219,PROD0202,EMP019,1,15,UPI,Online,Delivered
ORD000210,2024-08-12,CUST03265,PROD0068,EMP017,2,15,Debit Card,Retail Store,Delivered
ORD000211,2023-01-22,CUST08462,PROD0239,EMP011,4,15,Debit Card,Retail Store,Delivered
ORD000212,2024-01-06,CUST03784,PROD0207,EMP011,1,15,Debit Card,Retail Store,Delivered
ORD000213,2024-06-20,CUST06631,PROD0257,EMP009,2,25,Cash,Online,Delivered
ORD000214,2023-06-22,CUST05581,PROD0141,EMP010,1,20,Credit Card,Retail Store,Delivered
ORD000215,2023-12-24,CUST02715,PROD0230,EMP009,3,5,UPI,Retail Store,Delivered
ORD000216,2024-09-08,CUST03318,PROD0040,EMP003,1,0,UPI,Online,Delivered
ORD000217,2024-07-31,CUST07458,PROD0050,EMP017,2,10,Cash,Retail Store,Delivered
ORD000218,2023-03-11,CUST09888,PROD0116,EMP004,2,15,Credit Card,Online,Delivered
ORD000219,2023-12-27,CUST01344,PROD0092,EMP005,1,10,Credit Card,Retail Store,Delivered
ORD000220,2023-10-21,CUST09064,PROD0018,EMP012,2,15,Credit Card,Retail Store,Delivered
ORD000221,2023-02-12,CUST08215,PROD0256,EMP019,5,15,UPI,Retail Store,Delivered
ORD000222,2023-03-05,CUST09684,PROD0190,EMP001,4,0,Debit Card,Online,Returned
ORD000223,2023-03-28,CUST09838,PROD0076,EMP008,1,0,UPI,Retail Store,Delivered
ORD000224,2024-06-19,CUST06271,PROD0168,EMP004,1,15,UPI,Retail Store,Delivered
ORD000225,2023-12-13,CUST04146,PROD0150,EMP011,1,20,Credit Card,Retail Store,Delivered
ORD000226,2024-11-25,CUST09332,PROD0130,EMP019,4,15,Debit Card,Retail Store,Delivered
ORD000227,2023-06-03,CUST08697,PROD0259,EMP018,4,10,Credit Card,Retail Store,Delivered
ORD000228,2024-11-02,CUST07090,PROD0134,EMP004,3,20,Debit Card,Retail Store,Delivered
ORD000229,2024-10-20,CUST05462,PROD0202,EMP014,3,5,Credit Card,Online,Delivered
ORD000230,2024-12-02,CUST02098,PROD0056,EMP014,1,5,Credit Card,Retail Store,Delivered
ORD000231,2023-08-08,CUST04154,PROD0047,EMP001,2,15,UPI,Online,Delivered
ORD000232,2023-10-30,CUST09214,PROD0013,EMP003,2,10,Cash,Retail Store,Delivered
ORD000233,2023-06-07,CUST03763,PROD0049,EMP007,1,5,Debit Card,Online,Delivered
ORD000234,2023-06-19,CUST06206,PROD0023,EMP004,2,0,UPI,Retail Store,Delivered
ORD000235,2024-03-30,CUST09935,PROD0170,EMP003,2,20,Debit Card,Retail Store,Delivered
ORD000236,2024-04-25,CUST03763,PROD0114,EMP007,1,10,Credit Card,Retail Store,Delivered
ORD000237,2023-10-16,CUST09117,PROD0231,EMP017,10,25,EMI,Online,Delivered
ORD000238,2023-05-22,CUST00244,PROD0006,EMP017,2,0,Credit Card,Online,Delivered
ORD000239,2023-04-16,CUST07206,PROD0180,EMP019,5,0,UPI,Online,Delivered
ORD000240,2024-06-09,CUST06359,PROD0106,EMP003,1,15,UPI,Online,Delivered
ORD000241,2023-12-24,CUST05920,PROD0082,EMP006,1,15,UPI,Retail Store,Delivered
ORD000242,2023-03-25,CUST02825,PROD0069,EMP006,2,5,UPI,Online,Delivered
ORD000243,2024-10-27,CUST04967,PROD0146,EMP006,3,10,UPI,Online,Delivered
ORD000244,2023-05-23,CUST08502,PROD0059,EMP004,2,5,Credit Card,Online,Delivered
ORD000245,2023-08-09,CUST08077,PROD0183,EMP005,2,15,UPI,Retail Store,Delivered
ORD000246,2023-02-18,CUST02392,PROD0039,EMP006,1,15,Credit Card,Retail Store,Delivered
ORD000247,2024-05-26,CUST00267,PROD0022,EMP001,1,5,Debit Card,Retail Store,Delivered
ORD000248,2023-12-28,CUST03877,PROD0039,EMP019,1,15,UPI,Retail Store,Delivered
ORD000249,2024-01-05,CUST09546,PROD0132,EMP010,1,20,Credit Card,Online,Delivered
ORD000250,2023-01-21,CUST00830,PROD0097,EMP005,2,15,UPI,Retail Store,Delivered
ORD000251,2023-01-17,CUST06766,PROD0101,EMP015,2,0,UPI,Online,Delivered
ORD000252,2024-08-18,CUST01282,PROD0231,EMP002,7,20,UPI,Retail Store,Delivered
ORD000253,2024-10-20,CUST03999,PROD0006,EMP020,3,15,Credit Card,Online,Delivered
ORD000254,2024-04-13,CUST04576,PROD0217,EMP013,1,10,UPI,Online,Delivered
ORD000255,2023-11-20,CUST03907,PROD0240,EMP010,6,25,UPI,Online,Delivered
ORD000256,2024-01-01,CUST08762,PROD0247,EMP008,8,10,Cash,Retail Store,Delivered
ORD000257,2024-01-12,CUST03655,PROD0033,EMP004,2,15,Debit Card,Online,Delivered
ORD000258,2023-07-11,CUST05144,PROD0013,EMP015,2,15,UPI,Online,Delivered
ORD000259,2023-03-26,CUST06727,PROD0101,EMP012,2,0,UPI,Online,Delivered
ORD000260,2023-10-28,CUST08408,PROD0094,EMP016,2,0,UPI,Retail Store,Delivered
ORD000261,2024-09-09,CUST03419,PROD0022,EMP020,2,5,Credit Card,Retail Store,Delivered
ORD000262,2023-12-28,CUST00688,PROD0164,EMP015,2,15,Credit Card,Online,Delivered
ORD000263,2024-11-18,CUST01216,PROD0015,EMP014,4,5,EMI,Retail Store,Delivered
ORD000264,2024-03-24,CUST00544,PROD0131,EMP013,1,10,UPI,Online,Delivered
ORD000265,2024-01-28,CUST08208,PROD0037,EMP016,1,5,Credit Card,Online,Delivered
ORD000266,2023-03-20,CUST03486,PROD0119,EMP009,1,10,UPI,Retail Store,Delivered
ORD000267,2023-04-27,CUST06521,PROD0012,EMP019,1,5,Credit Card,Retail Store,Delivered
ORD000268,2023-09-26,CUST08567,PROD0153,EMP009,2,20,UPI,Online,Delivered
ORD000269,2024-05-17,CUST07639,PROD0128,EMP011,1,10,UPI,Retail Store,Delivered
ORD000270,2024-12-31,CUST06330,PROD0064,EMP016,2,0,Debit Card,Online,Returned
ORD000271,2024-11-14,CUST03137,PROD0236,EMP019,5,20,Cash,Online,Delivered
ORD000272,2024-12-18,CUST02613,PROD0234,EMP012,7,15,Debit Card,Retail Store,Delivered
ORD000273,2023-07-25,CUST05142,PROD0110,EMP008,1,5,Debit Card,Retail Store,Delivered
ORD000274,2024-01-13,CUST02816,PROD0073,EMP008,2,5,Credit Card,Retail Store,Delivered
ORD000275,2024-05-05,CUST07849,PROD0213,EMP009,5,15,Debit Card,Online,Delivered
ORD000276,2023-11-21,CUST01377,PROD0077,EMP018,1,15,Credit Card,Retail Store,Delivered
ORD000277,2024-07-18,CUST02933,PROD0243,EMP005,7,15,Debit Card,Retail Store,Delivered
ORD000278,2023-02-26,CUST08183,PROD0020,EMP017,1,5,UPI,Retail Store,Delivered
ORD000279,2023-08-19,CUST01920,PROD0105,EMP005,2,10,Debit Card,Retail Store,Delivered
ORD000280,2024-07-18,CUST06999,PROD0101,EMP005,2,5,Credit Card,Retail Store,Delivered
ORD000281,2024-10-18,CUST00254,PROD0255,EMP011,4,15,Credit Card,Online,Delivered
ORD000282,2024-07-31,CUST07774,PROD0161,EMP008,1,10,UPI,Online,Delivered
ORD000283,2023-09-29,CUST03678,PROD0035,EMP002,1,15,Credit Card,Retail Store,Delivered
ORD000284,2024-07-12,CUST07655,PROD0172,EMP009,3,10,Credit Card,Online,Delivered
